Joint 1_st,Joint 2_st,Joint 3_st,Joint 4_st,Joint 1_sw,Joint 2_sw,Joint 3_sw,Joint 4_sw,Joint 5_st,Joint 6_st,Joint 7_st,Joint 8_st,Joint 5_sw,Joint 6_sw,Joint 7_sw,Joint 8_sw
1680.465563,2115.012224,2337.723636,2153.151173,2197.343869,2295.090636,1652.530915,1818.200099,1442.6741,1801.951247,2120.624723,2687.489577,2500.098835,2045.275048,1659.511354,2379.753392
1837.874624,2081.152878,2401.347592,2031.098739,2227.445969,2292.960303,1562.651365,1839.049149,1480.081912,1866.919728,1970.506635,2550.884478,2638.085384,1989.012542,1296.748533,2735.560785
2001.414486,2045.460708,2467.449588,1893.749843,2287.549924,2264.573418,1392.477801,1897.191559,1541.223186,1883.187689,1899.29611,2376.567048,2806.313394,1975.035266,1170.679821,2834.806837
1998.262576,2048.122307,2451.045295,1879.709899,2329.053769,2229.879543,1281.746984,1980.056062,1651.845771,1998.452695,1819.314963,2130.864664,2893.482663,2021.62801,1225.345789,2791.146349
1990.303787,2058.192224,2406.699315,1876.780168,2306.971225,2219.541308,1322.687964,2075.498986,1785.786023,2009.150831,1767.431575,1980.856575,2893.482663,2076.946348,1233.858849,2785.264909
1981.357008,2077.863397,2345.062299,1876.191652,2219.639736,2237.713785,1467.581741,2235.215323,1900.526622,1891.109189,1680.237159,1940.72387,2758.83993,2077.065303,1135.927557,2546.511893
1975.074338,2109.394486,2276.731195,1869.290066,2091.917352,2262.59083,1675.459411,2410.660284,2136.31831,1997.121835,1676.423683,1838.967352,2406.675723,2137.122756,1135.900429,2456.025259
2008.489009,2190.877839,2203.983302,1730.918491,1948.971808,2272.480461,1906.365899,2473.564741,2233.85953,1991.4305,1543.524003,1923.509624,1913.114827,2388.910197,1377.766208,2467.105863
2126.660741,2315.252865,2068.249566,1423.553561,1815.970904,2226.492609,2120.346078,2376.848328,2421.960236,2009.368926,1503.243174,2095.614917,1593.122536,2223.048861,1736.825924,2519.389657
2177.465453,2304.596722,1810.78454,1632.13219,1718.08143,2152.908721,2277.446389,2228.706376,2494.048597,2043.023762,1593.914633,2278.985918,1438.491644,1884.892381,2039.372486,2573.493882
2197.34142,2295.095171,1652.55339,1818.111344,1680.463644,2115.015111,2337.723733,2153.153422,2498.833907,2045.548542,1661.274758,2369.309028,1426.579427,1854.898888,1978.277485,2620.353245
